Country,Year,Gender,Alcohol_consumption,Population
Serbia,2010,Female,59.5,8991000
Seychelles,2010,Male,55.2,91000
Seychelles,2010,Female,32.8,91000
Sierra Leone,2010,Male,55.3,6416000
Sierra Leone,2010,Female,34.5,6416000
Singapore,2010,Male,67.4,5131000
Singapore,2010,Female,33.1,5131000
Slovakia,2010,Male,71.3,5404000
Slovakia,2010,Female,60.7,5404000
Slovenia,2010,Male,72.9,2043000
Slovenia,2010,Female,62.3,2043000
Solomon Islands,2010,Male,44.4,528000
Solomon Islands,2010,Female,19.9,528000
Somalia,2010,Male,8.5,12044000
Somalia,2010,Female,2.5,12044000
South Africa,2010,Male,56.3,51217000
South Africa,2010,Female,26.3,51217000
South Korea,2010,Male,55.8,49546000
South Korea,2010,Female,34,49546000
Spain,2010,Male,73.4,46931000
Spain,2010,Female,63.3,46931000
Sri Lanka,2010,Male,27.2,20262000
Sri Lanka,2010,Female,9.9,20262000
Sudan,2010,Male,14.3,34545000
Sudan,2010,Female,7.8,34545000
Suriname,2010,Male,62.6,529000
Suriname,2010,Female,41.4,529000
Sweden,2010,Male,75.1,9390000
Sweden,2010,Female,62.7,9390000
Switzerland,2010,Male,92.1,7809000
Switzerland,2010,Female,85.1,7809000
Syria,2010,Male,10.6,21363000
Syria,2010,Female,4.3,21363000
Tajikistan,2010,Male,13.9,7527000
Tajikistan,2010,Female,4.8,7527000
Tanzania,2010,Male,52.2,44347000
Tanzania,2010,Female,31.9,44347000
Thailand,2010,Male,45.4,67195000
Thailand,2010,Female,14.9,67195000
Timor,2010,Male,11,1094000
Timor,2010,Female,3.1,1094000
Togo,2010,Male,68.6,6422000
Togo,2010,Female,57.3,6422000
Tonga,2010,Male,45.7,104000
Tonga,2010,Female,20.8,104000
Trinidad and Tobago,2010,Male,62.1,1328000
Trinidad and Tobago,2010,Female,40.4,1328000
Tunisia,2010,Male,8.6,10635000
Tunisia,2010,Female,2.9,10635000
Turkey,2010,Male,22.5,72327000
Turkey,2010,Female,5.6,72327000
Turkmenistan,2010,Male,65,5087000
Turkmenistan,2010,Female,15,5087000
Tuvalu,2010,Male,34.1,11000
Tuvalu,2010,Female,14.5,11000
Uganda,2010,Male,56.3,32428000
Uganda,2010,Female,26.3,32428000
Ukraine,2010,Male,73.5,45792000
Ukraine,2010,Female,64.1,45792000
United Arab Emirates,2010,Male,16,8550000
United Arab Emirates,2010,Female,4.6,8550000
United Kingdom,2010,Male,87,63460000
United Kingdom,2010,Female,81,63460000
United States,2010,Male,75.2,309011008
United States,2010,Female,63,309011008
Uruguay,2010,Male,70.1,3359000
Uruguay,2010,Female,48.3,3359000
Uzbekistan,2010,Male,60,28516000
Uzbekistan,2010,Female,15,28516000
Vanuatu,2010,Male,44.2,236000
Vanuatu,2010,Female,19.4,236000
Venezuela,2010,Male,69.9,28440000
Venezuela,2010,Female,48.4,28440000
Vietnam,2010,Male,48.5,87968000
Vietnam,2010,Female,28.6,87968000
Yemen,2010,Male,5.4,23155000
Yemen,2010,Female,2.8,23155000
Zambia,2010,Male,44.6,13606000
Zambia,2010,Female,16.8,13606000
Zimbabwe,2010,Male,50.3,12698000
Zimbabwe,2010,Female,28.3,12698000
